N,threads,schedule,serial_us,openmp_neon_us,speedup,max_error
512,4,static,58522.500,33810.250,1.731,0.000
512,4,dynamic,58522.500,28766.750,2.034,0.000
512,4,guided,58522.500,13175.250,4.442,0.000
512,8,static,58140.000,26192.500,2.220,0.000
512,8,dynamic,58140.000,25354.750,2.293,0.000
512,8,guided,58140.000,16881.500,3.444,0.000
1024,4,static,452084.250,242242.750,1.866,0.000
1024,4,dynamic,452084.250,220088.000,2.054,0.000
1024,4,guided,452084.250,123917.000,3.648,0.000
1024,8,static,492253.750,170228.250,2.892,0.000
1024,8,dynamic,492253.750,184553.250,2.667,0.000
1024,8,guided,492253.750,139946.750,3.517,0.000
1500,4,static,1413741.750,700577.750,2.018,0.000
1500,4,dynamic,1413741.750,578742.750,2.443,0.000
1500,4,guided,1413741.750,521097.750,2.713,0.000
1500,8,static,1385351.750,490769.750,2.823,0.000
1500,8,dynamic,1385351.750,370750.750,3.737,0.000
1500,8,guided,1385351.750,473073.500,2.928,0.000
