N,threads,serial_us,std_thread_scalar_us,std_thread_scalar_speedup,std_thread_scalar_err,std_thread_neon_us,std_thread_neon_speedup,std_thread_neon_err
512,1,56263.500,53062.250,1.060,0.000,17593.250,3.198,0.000
512,2,56263.500,131635.000,0.427,0.000,37171.000,1.514,0.000
512,4,56263.500,90809.500,0.620,0.000,55011.500,1.023,0.000
512,8,56263.500,95250.250,0.591,0.000,78278.750,0.719,0.000
1024,1,421399.000,427381.750,0.986,0.000,149209.750,2.824,0.000
1024,2,421399.000,484956.750,0.869,0.000,153264.500,2.749,0.000
1024,4,421399.000,425926.500,0.989,0.000,264112.000,1.596,0.000
1024,8,421399.000,439796.250,0.958,0.000,232677.750,1.811,0.000
1500,1,1504733.500,1387925.250,1.084,0.000,487449.000,3.087,0.000
1500,2,1504733.500,875070.000,1.720,0.000,368288.000,4.086,0.000
1500,4,1504733.500,1025981.750,1.467,0.000,703275.000,2.140,0.000
1500,8,1504733.500,1087799.250,1.383,0.000,489360.750,3.075,0.000
